EmployeeNumber,FieldVsDept,MonthlyHours,DaysWorked,CompanyRatiotoCareer,RoleRatioToCompany,RoleRatioToCareer,AgeBin,HourlyRateBin,MonthlyRateBin,MonthlyIncomeBin,DailyRateBin,DaysWorkedBin,MonthlyHoursBin,CompanyRatiotoCareerBin,RoleRatioToCompanyBin,RoleRatioToCareerBin
53,Other - Research & Development,26.013333333333332,4.204741379310345,1.0,0.0,0.0,30,70,10500,1500,400,0.0,20.0,0.9500000000000001,0.0,0.0
54,Life Sciences - Research & Development,70.93939393939394,1.8879032258064516,1.0,0.0,0.0,20,30,19500,2000,1200,0.0,60.0,0.9500000000000001,0.0,0.0
55,Life Sciences - Research & Development,47.770833333333336,1.6897568165070007,1.0,0.0,0.0,20,40,10500,2000,1300,0.0,40.0,0.9500000000000001,0.0,0.0
56,Life Sciences - Sales,235.83783783783784,8.778672032193159,1.0,0.8888888888888888,0.8888888888888888,20,30,2500,8500,900,5.0,220.0,0.9500000000000001,0.8500000000000001,0.8500000000000001
57,Medical - Research & Development,69.15517241379311,5.563106796116505,1.0,0.6666666666666666,0.6666666666666666,30,50,10500,4000,700,5.0,60.0,0.9500000000000001,0.65,0.65
58,Technical Degree - Research & Development,398.8775510204082,14.371323529411764,0.9565217391304348,0.6818181818181818,0.6521739130434783,40,40,16000,19500,1300,10.0,380.0,0.9500000000000001,0.65,0.65
60,Marketing - Sales,63.44444444444444,4.289201877934272,0.9,0.5555555555555556,0.5,30,70,10000,4500,1000,0.0,60.0,0.8500000000000001,0.55,0.45
61,Life Sciences - Research & Development,41.397260273972606,7.4068627450980395,0.125,0.0,0.0,30,70,10000,3000,400,5.0,40.0,0.1,0.0,0.0
62,Marketing - Sales,58.89795918367347,4.766308835672998,0.6428571428571429,0.6666666666666666,0.42857142857142855,40,90,20000,5500,1200,0.0,40.0,0.6000000000000001,0.65,0.4
63,Life Sciences - Research & Development,63.02777777777778,1.8462164361269324,1.0,0.0,0.0,30,30,4500,2000,1200,0.0,60.0,0.9500000000000001,0.0,0.0
64,Life Sciences - Research & Development,54.90816326530612,8.595846645367413,0.043478260869565216,0.0,0.0,40,90,19000,5000,600,5.0,40.0,0.0,0.0,0.0
65,Technical Degree - Research & Development,68.82,2.399581589958159,1.0,1.0,1.0,20,50,11000,3000,1400,0.0,60.0,0.9500000000000001,0.9500000000000001,0.9500000000000001
68,Marketing - Sales,72.72,3.6653225806451615,0.4444444444444444,0.75,0.3333333333333333,40,70,4000,5000,1400,0.0,60.0,0.4,0.7000000000000001,0.30000000000000004
70,Medical - Research & Development,125.11392405063292,9.010027347310848,0.4,0.0,0.0,30,70,8000,9500,1000,5.0,120.0,0.4,0.0,0.0
72,Marketing - Sales,88.44680851063829,2.8808038808038807,0.4,1.0,0.4,20,40,21000,4000,1400,0.0,80.0,0.4,0.9500000000000001,0.4
73,Life Sciences - Research & Development,137.3265306122449,26.132038834951455,1.0,0.9333333333333333,0.9333333333333333,30,90,15000,13000,500,25.0,120.0,0.9500000000000001,0.9,0.9
74,Life Sciences - Sales,127.73239436619718,10.631887456037514,1.0,0.8888888888888888,0.8888888888888888,30,70,11000,9000,800,10.0,120.0,0.9500000000000001,0.8500000000000001,0.8500000000000001
75,Medical - Research & Development,133.8,3.5148861646234675,0.5,1.0,0.5,30,30,16000,4000,1100,0.0,120.0,0.45,0.9500000000000001,0.45
76,Life Sciences - Research & Development,123.22916666666667,9.030534351145038,0.7,1.0,0.7,30,40,9500,5500,600,5.0,120.0,0.65,0.9500000000000001,0.65
77,Life Sciences - Research & Development,117.50980392156863,5.374887892376681,1.0,0.7142857142857143,0.7142857142857143,30,50,2500,5500,1100,5.0,100.0,0.9500000000000001,0.7000000000000001,0.7000000000000001
78,Medical - Research & Development,186.72727272727272,14.430913348946136,1.0,0.8888888888888888,0.8888888888888888,30,30,10500,6000,400,10.0,180.0,0.9500000000000001,0.8500000000000001,0.8500000000000001
79,Life Sciences - Research & Development,48.12,3.684532924961715,1.0,0.3,0.3,30,50,5000,2000,600,0.0,40.0,0.9500000000000001,0.25,0.25
80,Medical - Research & Development,435.8139534883721,18.948432760364003,0.9310344827586207,0.1111111111111111,0.10344827586206896,50,40,16500,18500,900,15.0,420.0,0.9,0.1,0.1
81,Life Sciences - Sales,77.14141414141415,5.321951219512195,0.75,0.7619047619047619,0.5714285714285714,50,90,2000,7500,1400,5.0,60.0,0.7000000000000001,0.75,0.55
83,Technical Degree - Research & Development,171.11864406779662,8.255110384300899,1.0,0.8235294117647058,0.8235294117647058,30,50,8000,10000,1200,5.0,160.0,0.9500000000000001,0.8,0.8
84,Medical - Research & Development,447.1515151515151,17.650717703349283,0.23809523809523808,0.0,0.0,50,30,19500,14500,800,15.0,440.0,0.2,0.0,0.0
85,Life Sciences - Research & Development,68.41052631578947,5.438493723849373,1.0,0.8333333333333334,0.8333333333333334,30,90,22500,6000,1100,5.0,60.0,0.9500000000000001,0.8,0.8
86,Life Sciences - Research & Development,164.8135593220339,7.262135922330097,0.04,0.0,0.0,40,50,18500,9500,1300,5.0,160.0,0.0,0.0,0.0
88,Medical - Research & Development,27.772151898734176,3.3042168674698793,0.6,0.6666666666666666,0.4,30,70,5500,2000,600,0.0,20.0,0.55,0.65,0.4
90,Medical - Research & Development,42.88607594936709,10.654088050314465,0.5,0.0,0.0,30,70,21500,3000,300,10.0,40.0,0.45,0.0,0.0
91,Life Sciences - Sales,96.01754385964912,4.467755102040816,0.2,0.75,0.15,50,50,24500,5000,1200,0.0,80.0,0.2,0.7000000000000001,0.1
94,Life Sciences - Research & Development,35.56578947368421,2.0353915662650603,0.8333333333333334,0.8,0.6666666666666666,20,70,4500,2500,1300,0.0,20.0,0.8,0.8,0.65
95,Medical - Research & Development,28.74712643678161,2.311460258780037,1.0,1.0,1.0,30,80,18500,2500,1000,0.0,20.0,0.9500000000000001,0.9500000000000001,0.9500000000000001
96,Life Sciences - Research & Development,94.24242424242425,11.35036496350365,1.0,0.4,0.4,30,60,7000,6000,500,10.0,80.0,0.9500000000000001,0.4,0.4
97,Life Sciences - Research & Development,55.236363636363635,23.015151515151516,0.2,0.0,0.0,30,50,22000,3000,100,20.0,40.0,0.2,0.0,0.0
98,Life Sciences - Research & Development,72.52459016393442,5.93029490616622,1.0,0.6363636363636364,0.6363636363636364,30,60,20500,4000,700,5.0,60.0,0.9500000000000001,0.6000000000000001,0.6000000000000001
100,Marketing - Sales,134.75,5.556701030927835,0.9375,0.8666666666666667,0.8125,30,30,23000,4000,700,5.0,120.0,0.9,0.8500000000000001,0.8
101,Other - Research & Development,254.71153846153845,68.62694300518135,0.0,1.0,0.0,40,50,15000,13000,100,65.0,240.0,0.0,1.0,0.0
102,Medical - Research & Development,455.46666666666664,34.41813602015113,0.3125,0.4,0.125,30,30,25000,13500,300,30.0,440.0,0.30000000000000004,0.4,0.1
103,Medical - Human Resources,62.7625,5.313227513227513,0.25,0.5,0.125,40,80,10000,5000,900,5.0,60.0,0.2,0.45,0.1
104,Life Sciences - Research & Development,93.2,6.016431924882629,1.0,0.8,0.8,30,50,15500,5000,800,5.0,80.0,0.9500000000000001,0.8,0.8
105,Medical - Research & Development,95.3,2.3550247116968697,1.0,0.6666666666666666,0.6666666666666666,30,30,26000,2500,1200,0.0,80.0,0.9500000000000001,0.65,0.65
106,Life Sciences - Sales,146.27142857142857,92.24324324324324,0.041666666666666664,0.0,0.0,50,70,18000,10000,100,90.0,140.0,0.0,0.0,0.0
107,Medical - Research & Development,67.45569620253164,9.300174520069808,0.7647058823529411,0.8461538461538461,0.6470588235294118,30,70,15500,5000,500,5.0,60.0,0.75,0.8,0.6000000000000001
110,Medical - Research & Development,46.01063829787234,3.751084128360798,1.0,0.4,0.4,30,90,17500,4000,1100,0.0,40.0,0.9500000000000001,0.4,0.4
112,Life Sciences - Research & Development,148.16326530612244,5.185714285714286,0.16216216216216217,0.6666666666666666,0.10810810810810811,50,40,21500,7000,1400,5.0,140.0,0.15000000000000002,0.65,0.1
113,Technical Degree - Sales,37.45161290322581,4.292051756007393,0.0,1.0,0.0,20,60,9500,2000,500,0.0,20.0,0.0,1.0,0.0
116,Life Sciences - Research & Development,21.614583333333332,4.8032407407407405,0.4,0.5,0.2,50,90,18500,2000,400,0.0,20.0,0.4,0.45,0.2
117,Life Sciences - Research & Development,41.93939393939394,14.416666666666666,1.0,0.9090909090909091,0.9090909090909091,30,90,15500,4000,200,10.0,40.0,0.9500000000000001,0.9,0.9
118,Medical - Sales,150.296875,14.378176382660687,1.0,0.8888888888888888,0.8888888888888888,40,60,13500,9500,600,10.0,140.0,0.9500000000000001,0.8500000000000001,0.8500000000000001
119,Life Sciences - Research & Development,173.1153846153846,25.477358490566036,1.0,0.13636363636363635,0.13636363636363635,40,70,14000,13500,500,25.0,160.0,0.9500000000000001,0.1,0.1
120,Marketing - Sales,76.63380281690141,8.609177215189874,0.9090909090909091,0.7,0.6363636363636364,50,70,8000,5000,600,5.0,60.0,0.9,0.65,0.6000000000000001
121,Medical - Sales,82.68253968253968,3.9047976011994003,1.0,0.7272727272727273,0.7272727272727273,30,60,19500,5000,1300,0.0,80.0,0.9500000000000001,0.7000000000000001,0.7000000000000001
124,Medical - Research & Development,266.825,16.728840125391848,0.47619047619047616,0.9,0.42857142857142855,40,40,3000,10500,600,15.0,260.0,0.45,0.8500000000000001,0.4
125,Medical - Sales,57.58620689655172,4.583714547118023,0.9166666666666666,0.7272727272727273,0.6666666666666666,30,80,24000,5000,1000,0.0,40.0,0.9,0.7000000000000001,0.65
126,Technical Degree - Research & Development,225.81666666666666,11.133114215283484,0.25,0.75,0.1875,50,60,24000,13500,1200,10.0,220.0,0.2,0.7000000000000001,0.15000000000000002
128,Other - Sales,151.4848484848485,3.6947524020694753,0.75,0.6666666666666666,0.5,20,30,17500,4500,1300,0.0,140.0,0.7000000000000001,0.65,0.45
129,Medical - Sales,98.16279069767442,35.175,1.0,0.8,0.8,20,40,8500,4000,100,35.0,80.0,0.9500000000000001,0.8,0.8
131,Medical - Sales,374.9189189189189,20.34017595307918,0.9736842105263158,0.2702702702702703,0.2631578947368421,50,30,24000,13500,600,20.0,360.0,0.9500000000000001,0.25,0.25
132,Medical - Research & Development,30.47761194029851,4.175869120654396,0.17647058823529413,0.6666666666666666,0.11764705882352941,40,60,25000,2000,400,0.0,20.0,0.15000000000000002,0.65,0.1
133,Human Resources - Human Resources,32.904761904761905,2.5687732342007434,0.42857142857142855,0.6666666666666666,0.2857142857142857,30,60,23500,2000,800,0.0,20.0,0.4,0.65,0.25
134,Life Sciences - Research & Development,41.63380281690141,3.5743651753325274,1.0,0.0,0.0,30,70,15000,2500,800,0.0,40.0,0.9500000000000001,0.0,0.0
137,Life Sciences - Research & Development,44.333333333333336,3.359357060849598,1.0,0.0,0.0,20,60,19500,2500,800,0.0,40.0,0.9500000000000001,0.0,0.0
138,Other - Research & Development,117.29268292682927,7.231578947368421,1.0,0.8125,0.8125,30,40,12000,4500,600,5.0,100.0,0.9500000000000001,0.8,0.8
139,Life Sciences - Research & Development,51.63,4.964423076923077,0.058823529411764705,0.0,0.0,30,100,15500,5000,1000,0.0,40.0,0.05,0.0,0.0
140,Human Resources - Human Resources,588.875,13.270422535211267,0.1,0.6666666666666666,0.06666666666666667,50,30,21500,18500,1400,10.0,580.0,0.1,0.65,0.05
141,Life Sciences - Research & Development,248.93150684931507,16.29775784753363,0.2857142857142857,0.375,0.10714285714285714,50,70,9500,18000,1100,15.0,240.0,0.25,0.35000000000000003,0.1
142,Marketing - Sales,124.8695652173913,23.933333333333334,1.0,0.6666666666666666,0.6666666666666666,20,40,26500,5500,200,20.0,120.0,0.9500000000000001,0.65,0.65
143,Medical - Research & Development,45.140625,2.25703125,1.0,1.0,1.0,20,60,26500,2500,1200,0.0,40.0,0.9500000000000001,0.9500000000000001,0.9500000000000001
144,Medical - Research & Development,48.66101694915254,5.376404494382022,0.0,1.0,0.0,20,50,23500,2500,500,5.0,40.0,0.0,1.0,0.0
145,Medical - Research & Development,249.46666666666667,5.1401098901098905,0.5652173913043478,0.9230769230769231,0.5217391304347826,50,30,25500,7000,1400,5.0,240.0,0.55,0.9,0.5
147,Life Sciences - Research & Development,92.03030303030303,9.231003039513677,1.0,0.7777777777777778,0.7777777777777778,30,60,22500,6000,600,5.0,80.0,0.9500000000000001,0.75,0.75
148,Human Resources - Human Resources,577.6,122.02816901408451,0.21739130434782608,0.6,0.13043478260869565,50,30,13500,17000,100,120.0,560.0,0.2,0.55,0.1
150,Life Sciences - Research & Development,53.34615384615385,2.4614019520851818,0.8333333333333334,0.6,0.5,20,50,13000,2500,1100,0.0,40.0,0.8,0.55,0.45
151,Life Sciences - Research & Development,100.11111111111111,4.369544131910766,0.08333333333333333,0.0,0.0,30,40,15000,4500,1000,0.0,100.0,0.05,0.0,0.0
152,Life Sciences - Sales,85.37931034482759,6.247266610597141,0.4166666666666667,0.6,0.25,30,80,14500,7000,1100,5.0,80.0,0.4,0.55,0.2
153,Medical - Research & Development,258.46666666666664,8.590103397341212,0.7857142857142857,0.9090909090909091,0.7142857142857143,30,40,5500,11500,1300,5.0,240.0,0.75,0.9,0.7000000000000001
154,Technical Degree - Sales,105.84782608695652,6.638036809815951,0.9,0.7777777777777778,0.7,30,90,22500,9500,1400,5.0,100.0,0.8500000000000001,0.75,0.65
155,Life Sciences - Research & Development,72.6923076923077,3.0748373101952278,0.14285714285714285,0.0,0.0,30,30,2500,2500,900,0.0,60.0,0.1,0.0,0.0
158,Life Sciences - Sales,184.33695652173913,43.04314720812183,1.0,0.48,0.48,40,90,19000,16500,300,40.0,180.0,0.9500000000000001,0.45,0.45
159,Life Sciences - Research & Development,27.21875,1.9916158536585367,1.0,0.7,0.7,30,90,22000,2500,1300,0.0,20.0,0.9500000000000001,0.65,0.65
160,Marketing - Sales,64.69473684210526,8.194666666666667,0.875,1.0,0.875,30,90,15000,6000,700,5.0,60.0,0.8500000000000001,0.9500000000000001,0.8500000000000001
161,Life Sciences - Research & Development,68.93055555555556,11.253968253968255,0.7142857142857143,0.8,0.5714285714285714,50,70,4500,4500,400,10.0,60.0,0.7000000000000001,0.8,0.55
162,Life Sciences - Research & Development,383.078431372549,28.56286549707602,0.8695652173913043,0.9,0.782608695652174,50,50,6000,19500,600,25.0,380.0,0.8500000000000001,0.8500000000000001,0.75
163,Life Sciences - Sales,81.21052631578948,24.78714859437751,0.5833333333333334,1.0,0.5833333333333334,30,70,20500,6000,200,20.0,80.0,0.55,0.9500000000000001,0.55
164,Other - Research & Development,51.47826086956522,2.815695600475624,1.0,0.8,0.8,20,40,23000,2000,800,0.0,40.0,0.9500000000000001,0.8,0.8
165,Medical - Research & Development,109.70212765957447,70.14965986394557,1.0,0.25,0.25,50,90,3000,10000,100,70.0,100.0,0.9500000000000001,0.2,0.2
167,Marketing - Sales,33.5,3.172348484848485,1.0,1.0,1.0,10,50,26500,1500,500,0.0,20.0,1.0,1.0,1.0
169,Technical Degree - Research & Development,25.23,4.247474747474747,0.6666666666666666,0.5,0.3333333333333333,20,100,19000,2500,500,0.0,20.0,0.65,0.45,0.30000000000000004
170,Medical - Research & Development,68.40625,13.972340425531915,0.9375,0.7333333333333333,0.6875,40,90,5500,6500,400,10.0,60.0,0.9,0.7000000000000001,0.65
171,Medical - Research & Development,65.81944444444444,4.951933124346917,0.16666666666666666,0.6666666666666666,0.1111111111111111,40,70,16000,4500,900,0.0,60.0,0.15000000000000002,0.65,0.1
174,Marketing - Sales,119.58441558441558,11.38195302843016,0.125,1.0,0.125,50,70,6500,9000,800,10.0,100.0,0.1,0.9500000000000001,0.1
175,Life Sciences - Sales,64.21126760563381,8.411439114391143,0.5,1.0,0.5,30,70,24500,4500,500,5.0,60.0,0.45,0.9500000000000001,0.45
176,Life Sciences - Sales,85.30208333333333,10.21072319201995,0.75,0.7777777777777778,0.5833333333333334,40,90,21000,8000,800,10.0,80.0,0.7000000000000001,0.75,0.55
177,Life Sciences - Human Resources,48.22950819672131,2.1712177121771217,1.0,0.875,0.875,20,60,8500,2500,1300,0.0,40.0,0.9500000000000001,0.8500000000000001,0.8500000000000001
178,Medical - Research & Development,58.82142857142857,22.875,0.42857142857142855,0.6666666666666666,0.2857142857142857,30,80,2500,4500,200,20.0,40.0,0.4,0.65,0.25
179,Life Sciences - Research & Development,200.9433962264151,9.26086956521739,0.2222222222222222,0.5,0.1111111111111111,50,50,25000,10500,1100,5.0,200.0,0.2,0.45,0.1
182,Life Sciences - Sales,125.57446808510639,4.440933032355154,0.8823529411764706,0.7333333333333333,0.6470588235294118,30,40,14500,5500,1300,0.0,120.0,0.8500000000000001,0.7000000000000001,0.6000000000000001
183,Life Sciences - Sales,210.70731707317074,9.008342022940564,0.3333333333333333,1.0,0.3333333333333333,20,40,24500,8500,900,5.0,200.0,0.30000000000000004,0.9500000000000001,0.30000000000000004
184,Human Resources - Human Resources,132.22916666666666,5.118548387096774,0.9166666666666666,0.8181818181818182,0.75,30,40,13500,6000,1200,5.0,120.0,0.9,0.8,0.7000000000000001
190,Medical - Research & Development,102.4390243902439,4.065827686350436,0.5,0.8,0.4,30,40,10000,4000,1000,0.0,100.0,0.45,0.8,0.4
192,Medical - Research & Development,41.59036144578313,2.6231003039513676,0.6666666666666666,0.8333333333333334,0.5555555555555556,40,80,9500,3000,1300,0.0,40.0,0.65,0.8,0.55
193,Technical Degree - Research & Development,134.90625,11.85989010989011,0.15789473684210525,0.6666666666666666,0.10526315789473684,30,30,2000,4000,300,10.0,120.0,0.15000000000000002,0.65,0.1
194,Life Sciences - Research & Development,35.093333333333334,6.0091324200913245,1.0,0.8,0.8,30,70,23500,2500,400,5.0,20.0,0.9500000000000001,0.8,0.8
195,Medical - Sales,133.37142857142857,6.7750362844702465,0.8888888888888888,0.875,0.7777777777777778,30,30,22500,4500,600,5.0,120.0,0.8500000000000001,0.8500000000000001,0.75
197,Technical Degree - Research & Development,38.142857142857146,15.940298507462687,0.375,0.6666666666666666,0.25,30,80,10000,3000,200,15.0,20.0,0.35000000000000003,0.65,0.2
198,Medical - Research & Development,77.71428571428571,1.9060967063770147,0.8333333333333334,0.6,0.5,30,30,11000,2500,1400,0.0,60.0,0.8,0.55,0.45
199,Life Sciences - Research & Development,188.8021978021978,20.047841306884482,0.3333333333333333,0.8571428571428571,0.2857142857142857,40,90,12500,17000,800,20.0,180.0,0.30000000000000004,0.8500000000000001,0.25
200,Life Sciences - Research & Development,23.80851063829787,2.3987138263665595,0.7142857142857143,0.0,0.0,40,90,6500,2000,900,0.0,20.0,0.7000000000000001,0.0,0.0
201,Medical - Research & Development,18.772151898734176,1.2557154953429297,1.0,0.0,0.0,10,70,16000,1000,1100,0.0,0.0,0.9500000000000001,0.0,0.0
202,Medical - Research & Development,103.79629629629629,4.017921146953405,1.0,0.35,0.35,40,50,8500,5500,1300,0.0,100.0,0.9500000000000001,0.30000000000000004,0.30000000000000004
204,Marketing - Sales,77.6063829787234,11.01963746223565,1.0,0.8,0.8,30,90,11000,7000,600,10.0,60.0,0.9500000000000001,0.8,0.8
205,Marketing - Sales,67.82352941176471,1.605849582172702,0.5384615384615384,1.0,0.5384615384615384,50,30,16000,2000,1400,0.0,60.0,0.5,0.9500000000000001,0.5
206,Life Sciences - Research & Development,39.13333333333333,12.103092783505154,0.85,0.5294117647058824,0.45,40,60,10500,2000,100,10.0,20.0,0.8,0.5,0.4
207,Marketing - Sales,209.25581395348837,9.305067218200621,1.0,0.8888888888888888,0.8888888888888888,30,40,15500,8500,900,5.0,200.0,0.9500000000000001,0.8500000000000001,0.8500000000000001
208,Technical Degree - Research & Development,105.34146341463415,2.8870320855614975,1.0,0.7,0.7,20,40,26000,4000,1400,0.0,100.0,0.9500000000000001,0.65,0.65
211,Medical - Research & Development,180.35294117647058,5.245508982035928,0.1,0.0,0.0,50,30,13500,6000,1100,5.0,180.0,0.1,0.0,0.0
214,Medical - Research & Development,44.61333333333334,2.9222707423580787,0.1111111111111111,0.0,0.0,50,70,11500,3000,1100,0.0,40.0,0.1,0.0,0.0
215,Marketing - Sales,162.01492537313433,17.23015873015873,0.8,0.9166666666666666,0.7333333333333333,40,60,8500,10500,600,15.0,160.0,0.8,0.9,0.7000000000000001
216,Marketing - Sales,29.746666666666666,7.363036303630363,0.6666666666666666,0.75,0.5,30,70,11000,2000,300,5.0,20.0,0.65,0.7000000000000001,0.45
217,Medical - Research & Development,29.0375,1.8495222929936306,1.0,1.0,1.0,20,80,11500,2000,1200,0.0,20.0,0.9500000000000001,0.9500000000000001,0.9500000000000001
218,Medical - Research & Development,35.50877192982456,2.9290882778581766,0.3333333333333333,1.0,0.3333333333333333,20,50,5500,2000,600,0.0,20.0,0.30000000000000004,0.9500000000000001,0.30000000000000004
